epoch,accuracy,loss,val_accuracy,val_loss
0,0.5501343011856079,0.9879563450813293,0.7758151888847351,0.7282617092132568
1,0.7654431462287903,0.6892000436782837,0.86277174949646,0.5190920829772949
2,0.8119964003562927,0.5509881973266602,0.88722825050354,0.4131324291229248
3,0.8442255854606628,0.45668086409568787,0.8994565010070801,0.34472063183784485
4,0.86974036693573,0.3971838653087616,0.914402186870575,0.3028058111667633
5,0.8760071396827698,0.37092503905296326,0.9198369383811951,0.2746943533420563
6,0.8845120668411255,0.340268611907959,0.9307065010070801,0.25937986373901367
7,0.9095792174339294,0.3035447299480438,0.9347826242446899,0.24521012604236603
8,0.9037600755691528,0.29909753799438477,0.9375,0.23173359036445618
9,0.915398359298706,0.2715965807437897,0.9442934989929199,0.22560809552669525
10,0.9198746681213379,0.24915523827075958,0.9442934989929199,0.21907828748226166
11,0.9256938099861145,0.23608359694480896,0.945652186870575,0.20913469791412354
12,0.9315129518508911,0.21731393039226532,0.945652186870575,0.2087864875793457
13,0.933751106262207,0.22268332540988922,0.9415760636329651,0.20387963950634003
14,0.9395702481269836,0.2007647305727005,0.9402173757553101,0.19933632016181946
15,0.9440465569496155,0.19385629892349243,0.9442934989929199,0.1954890340566635
16,0.9503133296966553,0.17933222651481628,0.945652186870575,0.1935855597257614
17,0.9525514841079712,0.17896217107772827,0.9429348111152649,0.19359679520130157
18,0.9606087803840637,0.1609475463628769,0.9429348111152649,0.19265629351139069
19,0.958818256855011,0.15098389983177185,0.9442934989929199,0.1915227472782135
20,0.9583706259727478,0.15758231282234192,0.945652186870575,0.1863240748643875
21,0.9601611495018005,0.15411105751991272,0.94972825050354,0.176337331533432
22,0.965532660484314,0.13705942034721375,0.9510869383811951,0.18446245789527893
23,0.9735899567604065,0.12981288135051727,0.94972825050354,0.18344520032405853
24,0.9717994332313538,0.12269745022058487,0.94701087474823,0.18457725644111633
25,0.9714285731315613,0.12142378836870193,0.94701087474823,0.18218828737735748
26,0.9780662655830383,0.11091293394565582,0.945652186870575,0.18121810257434845
27,0.9735899567604065,0.1213860958814621,0.9442934989929199,0.18348544836044312
28,0.9767233729362488,0.11219467967748642,0.94701087474823,0.1885046362876892
29,0.9794091582298279,0.10386770963668823,0.945652186870575,0.185394749045372
