epoch,accuracy,loss,val_accuracy,val_loss
0,0.4726947247982025,1.0436195135116577,0.7024456262588501,0.7865219116210938
1,0.6906893253326416,0.7561652064323425,0.70652174949646,0.6844461560249329
2,0.7766338586807251,0.6096510887145996,0.85597825050354,0.4275679886341095
3,0.8182632327079773,0.5118923783302307,0.8491848111152649,0.4406079947948456
4,0.8303491473197937,0.49479031562805176,0.9008151888847351,0.34530237317085266
5,0.8598925471305847,0.4462643563747406,0.90625,0.3174896836280823
6,0.863025963306427,0.399425745010376,0.8994565010070801,0.32748907804489136
7,0.8724261522293091,0.3773629367351532,0.9198369383811951,0.29163089394569397
8,0.8701879978179932,0.3702414035797119,0.914402186870575,0.2929137349128723
9,0.8822739720344543,0.33724746108055115,0.92527174949646,0.27221399545669556
10,0.8871978521347046,0.3215178847312927,0.9225543737411499,0.26893824338912964
11,0.899283766746521,0.2971303164958954,0.9198369383811951,0.2722216546535492
12,0.8849596977233887,0.32800647616386414,0.9116848111152649,0.28882983326911926
13,0.9055505990982056,0.2912842035293579,0.90625,0.313332736492157
14,0.9059982299804688,0.2705734372138977,0.9225543737411499,0.2565244734287262
15,0.9140555262565613,0.2617631256580353,0.9198369383811951,0.27965182065963745
16,0.9212175607681274,0.24825003743171692,0.9008151888847351,0.3119018077850342
17,0.9203222990036011,0.2457878291606903,0.9211956262588501,0.27070334553718567
18,0.9189794063568115,0.2447078973054886,0.9116848111152649,0.3002155125141144
19,0.9239032864570618,0.22217752039432526,0.917119562625885,0.293334424495697
20,0.927036702632904,0.2254476100206375,0.929347813129425,0.24910899996757507
21,0.9449418187141418,0.18879221379756927,0.9225543737411499,0.2616565227508545
22,0.9368845224380493,0.1984318643808365,0.9103260636329651,0.2967139184474945
23,0.9476275444030762,0.18603606522083282,0.9334239363670349,0.23732271790504456
24,0.9462847113609314,0.18725305795669556,0.92798912525177,0.22321663796901703
25,0.9489704370498657,0.16678081452846527,0.9347826242446899,0.23090967535972595
26,0.9512085914611816,0.16041064262390137,0.9103260636329651,0.3182082772254944
27,0.952103853225708,0.1652957797050476,0.929347813129425,0.2585785984992981
28,0.9579229950904846,0.14310017228126526,0.929347813129425,0.2525601089000702
29,0.9583706259727478,0.14780311286449432,0.91847825050354,0.30002936720848083
